file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Equal_No_Commas_No_Spaces,Equal_Shifted,Only_Numbers_Equal_Or_Shifted,Any_Equality,Confidence_Value
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,0,1,1,False,True,True,True,True,85.50
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,1,Chickenpox,Chickenpox,True,True,True,True,True,91.21
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,2,645,645,True,True,True,True,True,85.16
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,3,592,592,True,True,True,True,True,81.01
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,4,806,806,True,True,True,True,True,87.55
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,5,"29,361",29361,False,True,True,True,True,89.60
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,6,"26,719",26719,False,True,True,True,True,53.71
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,7,"36,147",36147,False,True,True,True,True,90.04
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,8,-,-,True,True,True,True,True,82.67
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,9,-,-,True,True,True,True,True,73.34
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,10,4,4,True,True,True,True,True,83.06
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,11,-,-,True,True,True,True,True,83.11
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,12,-,-,True,True,True,True,True,52.64
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,13,1,1,True,True,True,True,True,85.89
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,14,2,2,True,True,True,True,True,46.12
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,15,27,27,True,True,True,True,True,85.84
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,16,27,27,True,True,True,True,True,47.44
padded_cdi_ca_1956_wk_prov_dbs_Part44_tables.csv,0,17,1.2,..,False,False,False,False,,86.57
