DOMINION BUREAU OF STATISTICS,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
7,"Influenza, epidemic",133,168,35,7902,36025,8814,..,..,..,97,140,..,35,26,21,-,-,-,-,-,-,-,1,-,1,1,1,-,-,-,..,..,..,-,-,3,7
8,Measles,698,1137,821,38022,40340,43584,2,2,3,19,12,6,18,20,16,..,..,2,141,190,187,452,762,222,14,38,23,..,..,22,25,37,101,27,76,160,8
9,"Meningitis, meningococcal",4,8,6,170,163,160,-,-,-,..,..,..,1,2,-,-,-,-,-,-,-,1,-,1,-,1,1,-,2,-,..,..,..,2,3,-,9
10,Mumps,295,417,314,20386,13707,26769,-,-,1,10,8,-,-,3,4,..,..,..,23,45,36,193,259,130,9,21,15,..,..,24,..,..,11,60,81,67,10
11,"Poliomyelitis, epidemic: 4",2,2,29,72,152,152,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,9,-,-,1,1,-,1,-,-,3,-,1,4,11
12,(a) With paralysis,2,2,13,45,93,93,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,3,-,-,-,1,-,-,-,-,-,-,1,2,12
13,(b) Without paralysis,-,-,13,21,49,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,1,-,-,-,-,-,-,-,-,2,13
14,Rubella,566,974,172,47524,16777,8474,-,1,-,..,..,..,12,38,8,..,..,..,70,152,12,208,497,57,2,1,-,..,..,2,19,19,10,255,266,34,14
15,"Scarlet fever, etc. 5 **",172,170,200,8030,5731,8862,1,1,6,21,7,3,66,34,-,-,-,1,6,16,38,58,85,30,1,3,8,1,3,9,4,10,24,14,11,21,15
16,Smallpox,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,"Tuberculosis: 4,6",171,167,185,4596,4773,5295,8,10,8,1,1,-,1,1,4,14,3,11,41,54,70,13,24,26,17,6,14,10,-,7,24,28,16,42,40,20,17
18,(a) Pulmonary,145,134,163,3745,3865,4221,8,10,8,-,1,-,1,1,4,13,-,11,40,53,69,(6),(6),(6),16,6,14,8,-,6,23,26,14,36,37,18,18
19,(b) Non-pulmonary,13,9,6,276,310,259,-,-,-,1,-,-,-,-,-,1,3,-,1,1,2,(6),(6),(6),1,-,-,2,-,1,1,2,2,6,3,1,19
20,Typhoid and paratyphoid,6,11,4,203,127,224,1,2,-,-,-,-,-,-,-,1,-,-,1,5,1,1,1,-,-,-,-,1,-,-,-,-,-,1,3,-,20
21,Undulant fever,-,3,2,76,57,62,-,-,-,-,-,-,-,-,-,..,..,..,..,1,1,-,1,1,-,1,-,-,-,-,..,..,..,-,-,-,21
22,Venereal diseases:,273,282,328,7961,8305,8770,2,-,6,-,-,-,2,8,6,6,2,8,46,50,85,29,46,57,17,21,28,30,23,20,54,56,42,87,76,61,22
23,"(a) Syphilis, primary",1,2,5,50,58,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,1,-,1,-,1,-,-,-,-,23
24,(b) '' secondary,1,1,1,23,20,68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,24
25,(c) '' other,30,36,45,952,1187,1368,-,-,2,-,-,-,-,-,2,-,-,-,14,19,25,5,5,9,2,-,1,2,4,2,1,2,1,6,6,2,25
26,(d) Gonorrhoea,241,242,265,6935,7027,7027,2,-,5,-,-,-,2,8,2,6,2,5,32,31,58,24,40,40,15,20,27,27,19,16,52,52,41,81,70,61,26
27,(e) Other venereal diseases 8,-,1,-,1,13,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,93,130,123,4480,7032,4344,-,-,1,13,39,-,2,3,-,-,-,1,23,54,31,9,10,33,16,8,5,5,-,5,1,5,21,24,11,19,28
"(1) Figures adjusted for delayed reports. (2) Exclusive of Yukon and Northwest Territories. (3) Total accumulated to the end of the current week from the first week ending in January of the year stated. (4) Includes cases where type was not specified. (5) Scarlet fever includes cases of streptococcal sore throat. (6) Type not specified. (7) Includes chancroid, granuloma inguinale and lymphogranuloma venereum.   .. Not reportable",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE SITUATION IN THE UNITED STATES (Source: ""MORBIDITY AND MORTALITY-WEEKLY REPORT"", U.S. National Office of Vital Statistics): Number of reported cases for the current week (previous week in parentheses):",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diphtheria,20 (17),Measles,13304 (16735),"Meningitis, other",29 (35),"Poliomyelitis, with paralysis",132 (94),Smallpox,- (-),Undulant fever,23 (24),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Encephalitis, infectious",35 (32),Meningococcal infections,39 (49),"Poliomyelitis, acute",256 (180),"Poliomyelitis, without paralysis",84 (55),Typhoid fever,35 (46),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The communicable disease picture for the first half of 1956 is favorable in some respects and less so in others. A substantial decrease has occurred in the incidence of poliomyelitis. Reported cases for the first 6 months numbered 2654 compared with 3706 for the same period in 1955. Other diseases showing decreases in incidence during this period over that of last year are: undulant fever, from 606 cases to 506; meningococcal infections, from 2161 to 1761.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Increases were noted in 2 diseases of major health importance, namely, diphtheria and typhoid fever. The incidence of diphtheria began increasing during the latter half of 1955 and continued through the first 4 months of 1956. Since the first of the year 825 cases ahve been reported compared with 696 for the first 6 months of 1955. The number of encephalitis cases (770) is greater than that (681) for the first half of 1955. Measles also showed an increase of 543686 as compared with 492510 last year.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ENTERED BY: Gabrielle MacKinnon on June 30, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
