Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
15,Scarlet fever, etc.⁵,57,71,58,"5,972","8,717","9,345",2,2,-,13,13,5,3,30,12,-,-,-,1,6,12,15,12,10,1,1,2,1,-,5,4,3,3,17,4,8,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:,...,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:,129,165,226,"5,592","5,914","6,639",3,E,11,-,2,1,-,24,2,13,12,9,54,54,105,13,14,17,8,7,12,-,1,11,30,22,10,8,23,28,17
18,(a) Pulmonary,104,133,190,"4,538","4,720","5,360",3,6,11,-,-,-,-,24,2,13,10,8,46,53,102,(6),(6),(6),7,6,12,-,-,8,28,21,10,7,13,24,18
19,(b) Non-pulmonary,12,18,12,358,345,345,-,-,-,-,2,-,-,-,-,-,2,1,8,1,3,(6),(6),(6),1,1,-,-,1,3,2,1,-,1,10,4,19
20,Typhoid and paratyphoid,3,6,13,189,273,273,1,-,-,-,-,-,-,-,-,-,-,-,1,5,6,-,1,1,-,-,-,-,-,1,-,-,-,1,-,-,20
21,Undulant fever,2,1,5,84,97,84,-,-,-,-,-,-,-,-,-,-,-,-,9.9,1,P...,1,-,2,1,-,-,-,-,-,....,R.P.,P.R.,-,-,-,21
22,Venereal diseases:,317,328,359,"10,572","10,052","10,882",D,18,C,1,2,-,17,4,10,3,7,7,47,74,95,47,44,.56,20,25,26,43,37,33,49,45,67,81,72,57,22
23,(a) Syphilis, primary,1,5,2,90,64,97,-,-,-,-,-,-,1,-,-,-,-,,-,1,-,-,1,-,-,-,-,-,2,-,-,-,-,-,1,-,23
24,(b) " secondary,-,-,2,31,27,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24
25,(c) " other,30,45,41,"1,367","1,153","1,527",-,-,1,1,1,-,4,2,1,-,2,1,10,11,22,8,10,13,1,-,1,3,1,3,-,9,1,3,9,4,25
26,(d) Gonorrhoea,286,277,311,"9,078","8,805","9,062",9,18,8,-,1,-,12,2,9,3,5,5,37,61,80,39,33,49,19,25,24,40,34,29,49,36,65,78,62,53,26
27,(e) Other venereal diseases⁷,-,1,1,6,3,13,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,139,167,284,"4,457","5,369","5,287",-,-,-,-,-,1,7,E,5,-,-,1,25,42,86,56,74,49,-,-,10,1,4,5,30,18,15,20,23,13,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
