Table: Table_1
,,,,,CANADA2,,,,NFLD.,,,P.E.I.,,,N.S.,,,N.B.,,,QUE.,,,ONT.,,,MAN.,,,SASK.,,,ALTA.,,,B.C.,,
15,Scarlet fever, etc.⁵,100,129,266,"7,686","10,711","10,746",8,6,to,2,-,12,37,75,23,-,-,3,7,10,68,20,21,53,6,5,10,5,-,10,13,11,21,2,1,18,15
16,Smallpox,-,-,-,-,-,-,-,-,-,:,..,...,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16
17,Tuberculosis:,148,193,186,"7,901","8,386","9,490",3,12,6,1,-,1,1,-,2,2,8,4,37,92,73,25,33,21,16,8,23,3,2,15,23,20,13,37,18,27,17
18,(a) Pulmonary,121,147,161,"6,474","6,709","7,725",3,12,6,1,-,-,1,-,2,2,8,4,37,92,70,(6),(6),(6),16,7,23,3,-,11,23,12,13,35,16,26,18
19,(b) Non-pulmonary,2,13,7,462,459,500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,(6),(6),(6),-,1,-,-,2,1,-,8,2,2,2,2,19
20,Typhoid and paratyphoid,6,7,12,298,421,421,-,-,-,-,-,-,-,-,-,-,-,-,6,6,4,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,20
21,Undulant fever,1,-,l,120,128,119,-,-,-,-,-,-,-,-,-,-,-,-,1,:.,:.,-,-,-,-,-,-,-,-,-,...,..,....,-,-,-,21
22,Venereal diseases:,288,268,341,"14,870","15,123","16,381",4,13,6,-,-,2,8,11,10,4,-,5,52,61,68,39,47,62,34,19,33,32,22,28,40,33,59,75,62,58,22
23,(a) Syphilis, primary,1,2,2,136,102,143,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,23
24,(b) " secondary,-,1,2,42,49,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,24
25,(c) " other,34,29,45,"1,870","1,743","2,134",1,6,-,-,-,-,-,1,3,1,-,-,17,12,21,02,4,12,-,-,2,3,-,2,2,3,1,2,3,2,25
26,(d) Gonorrhoea,253,236,291,"12,810","13,219","13,361",3,7,5,-,-,1,8,10,6,3,-,Nr,35,49,51,31,42,45,33,19,31,29,22,24,38,30,58,73,57,53,26
27,(e) Other venereal diseases⁷,-,-,-,12,10,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27
28,Whooping cough,200,160,242,"6,888","7,864","8,487",-,-,-,-,-,4,3,15,10,-,-,2,54,54,78,68,52,52,-,-,6,1,-,9,13,13,24,61,26,22,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
