file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Equal_No_Commas_No_Spaces,Equal_Shifted,Only_Numbers_Equal_Or_Shifted,Any_Equality,Confidence_Value,Lev_Dist,Lev_Sim,error_difference
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,35,5,6,False,False,False,False,False,87.26,1,0.0,0.16666666666666666
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,6,38,61,7,False,False,False,False,False,85.6,2,0.0,-7.714285714285714
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,8,38,1,9,False,False,False,False,False,82.37,1,0.0,0.8888888888888888
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,13,22,33,38,False,False,False,False,False,51.86,1,0.5,0.13157894736842105
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,14,38,77,15,False,False,False,False,False,85.94,2,0.0,-4.133333333333334
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,81.25,3,0.8235294117647058,
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,93.26,2,0.9310344827586208,
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,4,25,4.,4,False,False,False,False,False,47.51,1,0.5,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,6,38,200,7,False,False,False,False,False,78.61,3,0.0,-27.571428571428573
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,7,32,-- 10,10,False,False,False,False,False,72.75,3,0.4,
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,9,34,P.O. 19,19,False,False,False,False,False,64.6,5,0.2857142857142857,
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,10,38,1,11,False,False,False,False,False,80.47,1,0.5,0.9090909090909091
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,14,38,57,15,False,False,False,False,False,84.03,2,0.0,-2.8
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,25,9,.9,9,False,False,False,False,False,28.39,1,0.5,0.8999999999999999
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,88.82,2,0.9310344827586208,
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,6,38,12,7,False,False,False,False,False,78.22,2,0.0,-0.7142857142857143
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,8,38,1,9,False,False,False,False,False,79.05,1,0.0,0.8888888888888888
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,14,6,"4,057",3085,False,False,False,False,False,74.37,4,0.1999999999999999,
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,14,38,70,15,False,False,False,False,False,72.07,2,0.0,-3.6666666666666665
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,16,1,Tuberculosis:4,"Tuberculosis: 4,6",False,False,False,False,False,90.48,3,0.8235294117647058,
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,21,18,9.,9,False,False,False,False,False,18.57,1,0.5,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,25,37,45,5,False,False,False,False,False,76.12,1,0.5,-8.0
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,26,1,(e) Other venereal diseases⁷,(e) Other venereal diseases 8,False,False,False,False,False,85.79,2,0.9310344827586208,
padded_cdi_ca_1956_wk_prov_dbs_Part13_tables.csv,8,38,2,9,False,False,False,False,False,79.35,1,0.0,0.7777777777777778
