file_name,row_index,col_index,AWS_Value,Manual_Value,Equal,Equal_No_Commas_No_Spaces,Equal_Shifted,Only_Numbers_Equal_Or_Shifted,Any_Equality,Confidence_Value,Lev_Dist,Lev_Sim,log10_diff,log10_difference,relative_error
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,4,35,5,6,False,False,False,False,False,87.26,1,0.0,,0.0791812460476247,0.16666666666666666
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,6,38,61,7,False,False,False,False,False,85.6,2,0.0,,0.9402317949965104,0.8852459016393442
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,8,38,1,9,False,False,False,False,False,82.37,1,0.0,,0.9542425094393248,0.8888888888888888
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,13,22,33,38,False,False,False,False,False,51.86,1,0.5,,0.0612696567389225,0.13157894736842105
padded_cdi_ca_1956_wk_prov_dbs_Part10_tables.csv,14,38,77,15,False,False,False,False,False,85.94,2,0.0,,0.7103994661168005,0.8051948051948052
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,4,25,4.,4,False,False,False,False,False,47.51,1,0.5,,0.0,0.0
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,6,38,200,7,False,False,False,False,False,78.61,3,0.0,,1.4559319556497243,0.965
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,10,38,1,11,False,False,False,False,False,80.47,1,0.5,,1.0413926851582251,0.9090909090909091
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,14,38,57,15,False,False,False,False,False,84.03,2,0.0,,0.5797835966168101,0.7368421052631579
padded_cdi_ca_1956_wk_prov_dbs_Part11_tables.csv,25,9,.9,9,False,False,False,False,False,28.39,1,0.5,,1.0,0.8999999999999999
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,6,38,12,7,False,False,False,False,False,78.22,2,0.0,,0.234083206033368,0.4166666666666667
padded_cdi_ca_1956_wk_prov_dbs_Part12_tables.csv,8,38,1,9,False,False,False,False,False,79.05,1,0.0,,0.9542425094393248,0.8888888888888888
